title,year,time,genres,links,rating,thumb,plot,director,stars,new_links,movieId
Toy Story,1995,1h 21m,"Animation, Adventure, Comedy",tt0114709,8.3,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
            ",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",114709,1
Heat,1995,2h 50m,"Crime, Drama, Thriller",tt0113277,8.2,"https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
            ",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",113277,6
Casino,1995,2h 58m,"Crime, Drama",tt0112641,8.2,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
            ",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",112641,16
Se7en,1995,2h 7m,"Crime, Drama, Mystery",tt0114369,8.6,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
            ",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",114369,47
The Usual Suspects,1995,1h 46m,"Crime, Mystery, Thriller",tt0114814,8.6,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
            ",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",114814,50
La haine,1995,1h 38m,"Crime, Drama",tt0113247,8.1,"https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    24 hours in the lives of three young men in the French suburbs the day after a violent riot.
            ",Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",113247,97
Braveheart,1995,2h 58m,"Biography, Drama, History",tt0112573,8.4,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
            ",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",112573,110
Taxi Driver,1976,1h 54m,"Crime, Drama",tt0075314,8.3,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
            ",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",75314,111
Before Sunrise,1995,1h 41m,"Drama, Romance",tt0112471,8.1,"https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
            ",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",112471,215
Star Wars,1977,2h 1m,"Action, Adventure, Fantasy",tt0076759,8.6,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.
            ",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",76759,260
